record_id,row_no,field_name,file_token,original_name,local_path,download_status,download_error
rec27uCefsOU6o,3,截图,SVDLbAXo0oICLxxsFeccoBNvn6b,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\003_rec27uCefsOU6o\截图_01_SVDLbAXo0o_image.png,downloaded,
rec27uCeLfw5ju,4,截图,Q9EmbGQ0JoWnQaxrOMuc2wvnnic,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\004_rec27uCeLfw5ju\截图_01_Q9EmbGQ0Jo_image.png,downloaded,
rec27vHEnnmNEb,5,截图,EN1VbHl2Goo6VxxaCOecfUKRn34,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\005_rec27vHEnnmNEb\截图_01_EN1VbHl2Go_image.png,downloaded,
recvmj6AVJPAXK,6,截图,YwD2buqVVoK5sDxkW7UchTf9nyh,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\006_recvmj6AVJPAXK\截图_01_YwD2buqVVo_image.png,downloaded,
recvkNEWcjdMo6,8,截图,JaAdbGJyqobVBRxNo6RcBK4wnIf,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\008_recvkNEWcjdMo6\截图_01_JaAdbGJyqo_image.png,downloaded,
rec27uzo0XueEM,10,截图,TPumbjOgfot1hLxMETscDpxgnxh,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\010_rec27uzo0XueEM\截图_01_TPumbjOgfo_image.png,downloaded,
recvkfPF8WNvMq,11,截图,BGVwbSCjFoj848xs62acB2kpnDD,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\011_recvkfPF8WNvMq\截图_01_BGVwbSCjFo_image.png,downloaded,
rec27ue8jBAtdT,12,截图,C3BjbCefVoqAl3xsYPFcdCgVn8b,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\012_rec27ue8jBAtdT\截图_01_C3BjbCefVo_image.png,downloaded,
rec27uvq7ulqyP,13,截图,ToUTb2JPKoIneDx3obEcoBIrnWd,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\013_rec27uvq7ulqyP\截图_01_ToUTb2JPKo_image.png,downloaded,
rec27uvq7ulqyP,13,截图,HM2Bbqs0somFOLxDEiYcUJtonZb,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\013_rec27uvq7ulqyP\截图_02_HM2Bbqs0so_image.png,downloaded,
recvmjafQQXcNn,14,截图,MczSbRTlPof7oJxyzVScT4bJnwc,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\014_recvmjafQQXcNn\截图_01_MczSbRTlPo_image.png,downloaded,
recvmjafQQXcNn,14,截图,E46bbfTcuo5xEbx4cmHcxhDGnWd,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\014_recvmjafQQXcNn\截图_02_E46bbfTcuo_image.png,downloaded,
rec27uE438TTDe,15,截图,BPmtb3qgZo9HRJxWUD1c9vzLnJb,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\015_rec27uE438TTDe\截图_01_BPmtb3qgZo_image.png,downloaded,
rec27uE438TTDe,15,截图,Bz6cbJJKAofLEixHmkkcFzQvnMg,image.png,C:\Users\Administrator\Documents\New project\feishu_base_export\attachments\015_rec27uE438TTDe\截图_02_Bz6cbJJKAo_image.png,downloaded,
